City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount pearl,47.5166,-52.7813,15.19,93,40,5.66,Mount Pearl,1693373996
1,laguna,38.421,-121.4238,25.35,54,0,1.54,Laguna,1693374274
2,port mathurin,-19.6833,63.4167,22.64,73,16,5.6,Port Mathurin,1693374002
3,flying fish cove,-10.4217,105.6791,25.82,78,100,6.17,Flying Fish Cove,1693374020
4,kariapatti,9.6751,78.0999,32.29,58,40,2.57,Kariapatti,1693374354
5,mount isa,-20.7333,139.5,30.87,9,41,8.75,Mount Isa,1693374074
6,iqaluit,63.7506,-68.5145,3.85,86,75,2.06,Iqaluit,1693373982
7,tiksi,71.6872,128.8694,7.4,82,99,3.3,Tiksi,1693373984
8,port-aux-francais,-49.35,70.2167,0.55,70,87,18.17,Port-aux-Français,1693373982
9,longyearbyen,78.2186,15.6401,6.91,87,75,1.54,Longyearbyen,1693374021
10,isangel,-19.55,169.2667,23.06,88,100,10.29,Isangel,1693374355
11,tikamgarh,24.745,78.8333,31.04,55,7,3.99,Tīkamgarh,1693374355
12,olonkinbyen,70.9221,-8.7187,4.61,91,100,3.21,Olonkinbyen,1693374018
13,saipan,15.1355,145.701,29.39,79,75,2.57,Saipan,1693373815
14,andorra,42.5,1.5,10.43,73,11,2.96,Andorra,1693374242
15,udachny,66.4167,112.4,19.14,72,100,2.74,Udachny,1693374010
16,waitangi,-43.9535,-176.5597,9.9,86,62,1.34,Waitangi,1693373980
17,kingston,17.997,-76.7936,29.53,82,52,7.2,Kingston,1693373799
18,mechernich,50.6,6.65,12.86,80,40,2.55,Mechernich,1693374356
19,georgetown,5.4112,100.3354,31.97,62,20,3.09,George Town,1693373821
20,malango,-2.9627,119.9001,28.31,45,7,2.38,Malango,1693374089
21,geraldton,-28.7667,114.6,30.23,25,0,2.57,Geraldton,1693374060
22,invercargill,-46.4,168.35,14.45,56,17,3.58,Invercargill,1693373830
23,okhotsk,59.3833,143.3,18.34,76,8,4.16,Okhotsk,1693374139
24,port alfred,-33.5906,26.891,21.72,32,0,4.18,Port Alfred,1693374013
25,yellowknife,62.456,-114.3525,20.31,79,22,5.81,Yellowknife,1693373984
26,la paz,-16.5,-68.15,8.1,69,11,1.03,La Paz,1693374063
27,sepolno krajenskie,53.452,17.5317,15.42,95,100,2.53,Sępólno Krajeńskie,1693374357
28,wamba,8.9333,8.6,22.12,95,90,0.4,Wamba,1693374358
29,ilulissat,69.2167,-51.1,4.01,87,75,2.06,Ilulissat,1693373980
30,ribeira grande,38.5167,-28.7,22.65,88,97,0.45,Ribeira Grande,1693373829
31,talnakh,69.4865,88.3972,16.35,48,69,1.47,Talnakh,1693374075
32,avarua,-21.2078,-159.775,21.03,64,25,1.54,Avarua,1693374014
33,puerto natales,-51.7236,-72.4875,-0.25,94,67,1.61,Puerto Natales,1693373993
34,wailua homesteads,22.0669,-159.378,27.44,81,75,8.23,Wailua Homesteads,1693373981
35,new norfolk,-42.7826,147.0587,13.73,67,87,2.83,New Norfolk,1693374105
36,gejiu,23.306,103.1635,19.36,66,77,1.53,Gejiu,1693374137
37,cetate,44.1,23.05,21.29,79,90,1.32,Cetate,1693374359
38,al jawf,29.5,38.75,27.85,36,0,5.44,Al Jawf,1693374095
39,aasiaat,68.7098,-52.8699,2.27,89,57,2.2,Aasiaat,1693373985
40,ritchie,-29.038,24.6028,12.56,32,0,3.32,Ritchie,1693374102
41,ushuaia,-54.8,-68.3,3.81,87,0,2.06,Ushuaia,1693373995
42,hassi messaoud,31.6804,6.0729,27.92,20,40,3.6,Hassi Messaoud,1693374360
43,talara,-4.5772,-81.2719,20.82,82,2,7.01,Talara,1693374361
44,shevchenko,48.5,35.0,24.55,23,0,3.74,Shevchenko,1693374362
45,college,64.8569,-147.8028,19.99,75,75,3.09,College,1693373996
46,adamstown,-25.066,-130.1015,17.79,91,100,4.22,Adamstown,1693373984
47,sinabang,2.4803,96.3801,28.78,73,98,1.9,Sinabang,1693374363
48,dauphin,51.1494,-100.0502,12.08,94,0,0.0,Dauphin,1693374363
